Term	POS1	POS2	POS3	POS4	Subjectivity1	Subjectivity2	Subjectivity3	Subjectivity4	Polarity1	Polarity2	Polarity3	Polarity4	Anger1	Anger2	Anger3	Anger4	Disgust1	Disgust2	Disgust3	Disgust4	Fear1	Fear2	Fear3	Fear4	Happiness1	Happiness2	Happiness3	Happiness4	Sadness1	Sadness2	Sadness3	Sadness4	Surprise1	Surprise2	Surprise3	Surprise4	Aditional1	Aditional2	Aditional3	Aditional4	Comments1	Comments2	Comments3	Comments4	
αγευσία	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	SUBJ+	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	5	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγκουσεύω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	3	1	1	3	2	1	1	3	4	2	5	1	1	1	1	1	5	4	2	3	1	1	1	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: disconfort, discontentment	N/A	N/A	
αγνός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ-	SUBJ+	SUBJ+	BOTH	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	4	4	1	1	1	1	3	1	4	1	N/A	N/A	N/A	αγνότητα	N/A	used to characterize someone	N/A	N/A	
αγορεύω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	3	2	2	N/A	4	2	5	N/A	2	1	1	N/A	1	1	1	N/A	1	1	1	N/A	3	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγρίεμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	5	5	4	5	3	1	4	2	5	4	5	2	1	1	1	1	1	1	1	2	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγριεύω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	5	5	4	5	3	1	4	2	5	4	5	2	1	1	1	1	1	1	1	2	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγροτοπατέρας	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	3	2	3	4	3	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	all sentiments caused by irony	N/A	N/A	
άγχος	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	2	1	1	1	3	1	2	1	5	4	5	5	2	2	1	1	1	1	1	2	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγωνία	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	BOTH	NEG	NEG	BOTH	1	1	1	1	1	1	1	1	5	4	5	3	5	2	1	2	3	1	3	2	1	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγωνιώ	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	BOTH	NEG	NEG	BOTH	1	1	1	1	1	1	1	1	5	4	5	3	5	2	1	2	3	1	3	2	1	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδειάζω 	VERB	VERB	VERB	VERB	SUBJ+	SUBJ-	SUBJ+	SUBJ-	NEG	NEG	NEG	BOTH	4	3	2	1	4	3	1	1	1	1	1	1	1	1	1	2	3	2	1	2	3	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	The same word has many meanings. It's not possible to tag without the context. Tagging is completely subjective. 	N/A	
άδειασμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ-	NEG	NEG	NEG	BOTH	4	2	2	1	4	3	1	1	1	1	1	1	1	1	1	2	3	2	1	2	1	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άδειος -α -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	OBJ	SUBJ-	NEG	N/A	N/A	NEG	3	N/A	N/A	1	3	N/A	N/A	1	1	N/A	N/A	1	1	N/A	N/A	1	4	N/A	N/A	2	1	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδελφάτο	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ+	BOTH	NEG	NEG	NEG	3	1	3	3	3	2	3	3	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	all sentiments caused by irony, when characterizing people	N/A	N/A	
αδελφή	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	BOTH	POS	NEG	1	1	1	3	1	2	1	3	1	1	1	1	4	2	3	1	1	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	implies sentiment (positive or negative) when characterizing people	N/A	N/A	
αδελφικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	5	N/A	4	4	1	N/A	1	1	1	N/A	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδελφός	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	2	3	2	1	1	1	1	3	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδελφοσύνη	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	2	4	2	1	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδελφούλης	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	2	4	3	1	1	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	not purely a sentiment. It implies sentiment towards the referring person	N/A	N/A	
αδερφός	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	2	3	2	1	1	1	1	3	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδερφούλης	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	2	4	3	1	1	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδιάθετος  -η -ο	ADJ	ADJ	ADJ	ADJ	OBJ	OBJ	OBJ	SUBJ+	N/A	N/A	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	4	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδιάλυτος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	1	N/A	2	N/A	2	N/A	3	N/A	2	N/A	1	N/A	1	N/A	2	N/A	2	N/A	1	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδιάντροπος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	2	5	3	5	5	5	3	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αδιαφορία	NOUN	NOUN	ADJ	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	4	3	5	1	1	2	1	1	1	1	1	1	1	1	3	1	3	2	1	1	3	1	N/A	N/A	N/A	N/A	N/A	"sentiment: indifference (existing sentiment?? It does imply something ""subjective"")"	N/A	N/A	
άδολος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	2	1	N/A	1	1	1	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αέρας	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αεροβατώ	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	NEG	1	N/A	4	1	3	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	2	1	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αηδής -ής -ές	NOUN	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	3	3	5	5	5	5	1	1	2	1	1	1	1	1	2	1	2	2	3	1	4	1	N/A	N/A	N/A	αηδιαστικός, αηδίας	N/A	N/A	N/A	N/A	
αηδία	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	3	2	5	5	5	5	1	1	1	1	1	1	1	1	2	1	1	2	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αηδιάζω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	3	3	5	5	5	5	1	1	1	1	1	1	1	1	2	1	1	2	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άθλος	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	4	3	4	1	1	1	1	5	4	5	1	N/A	N/A	N/A	N/A	N/A	sentiment: admiration, satisfaction. Used with irony can give a negative polarity.	N/A	N/A	
αιδημοσύνη	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	BOTH	4	1	4	1	5	1	4	1	3	4	2	2	1	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: embarassment , shame	N/A	N/A	
αιδώς	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	BOTH	4	4	4	1	5	4	4	1	3	4	1	2	1	1	1	1	1	1	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: embarassment , shame	N/A	N/A	
αίμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	BOTH	4	N/A	2	4	4	N/A	4	1	4	N/A	4	2	1	N/A	1	1	1	N/A	1	3	3	N/A	4	2	N/A	N/A	N/A	N/A	N/A	can be used in frozen expressions that denote fear, annoyment, threat, rage	N/A	N/A	
αιρεσιάρχης	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	4	N/A	4	N/A	4	N/A	4	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αισθάνομαι	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ+	SUBJ+	BOTH	N/A	BOTH	BOTH	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	N/A	N/A	N/A	N/A	N/A	must be used to locate sentiment, because it always accompanies one	N/A	N/A	
αισθαντικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	BOTH	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	1	1	2	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	meaning with intense sentiments. The opposite of indifferent. See comment line 40	N/A	N/A	
αισθαντικότητα	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	BOTH	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	1	1	2	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	idem	N/A	N/A	
αίσθημα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	SUBJ+	BOTH	N/A	BOTH	BOTH	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	5	N/A	5	1	N/A	N/A	N/A	N/A	N/A	see comment line 52	N/A	N/A	
αισθηματίας	ADJ	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	BOTH	POS	BOTH	BOTH	1	1	1	1	3	1	3	1	1	1	1	1	4	2	2	3	1	2	1	1	1	1	3	1	N/A	N/A	N/A	N/A	N/A	see comment line 53	N/A	N/A	
αισθηματικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	BOTH	POS	BOTH	1	1	1	1	1	1	1	1	1	1	1	1	4	5	4	3	1	5	1	1	1	1	3	1	N/A	N/A	N/A	N/A	N/A	meaning having to do with love. This could be joyful or sad…	N/A	N/A	
αισθηματικότητα	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	POS	BOTH	POS	BOTH	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	3	1	3	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	describes the fact having feeling. Can be used objectively or subjectively impying the existence of feelings	N/A	N/A	
αισθηματισμός	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	BOTH	NEG	BOTH	1	1	1	1	3	1	3	1	1	1	1	1	1	3	1	3	1	3	1	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	describes the fact having feeling. Can be used objectively or subjectively impying the existence of feelings	N/A	N/A	
αισθηματολογία	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	BOTH	NEG	BOTH	1	1	1	1	3	1	3	1	1	1	1	1	1	4	1	3	1	4	1	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αισθηματολόγος -α -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	BOTH	1	N/A	1	1	4	N/A	4	1	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	2	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αισθηματολογώ	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	BOTH	1	N/A	1	1	4	N/A	4	1	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αίσθηση	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	BOTH	BOTH	BOTH	BOTH	5	1	1	1	5	1	2	1	5	1	2	1	5	1	2	1	5	1	2	1	5	4	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αισθητήριος -α -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	OBJ	BOTH	N/A	BOTH	N/A	1	N/A	1	N/A	2	N/A	2	N/A	1	N/A	2	N/A	3	N/A	2	N/A	1	N/A	2	N/A	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αισθητικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	4	3	1	N/A	1	1	4	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αιώνιος	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	SUBJ-	BOTH	N/A	POS	NEG	1	N/A	1	2	2	N/A	1	2	2	N/A	1	1	4	N/A	4	1	1	N/A	1	2	4	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακαδημαϊκός	ADJ	ADJ	NOUN	ADJ	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακαλαισθησία	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	2	4	2	4	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακαλαίσθητος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	2	4	2	4	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακαλλιέργητος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ-	SUBJ+	SUBJ-	NEG	NEG	NEG	NEG	2	1	3	3	4	1	3	3	1	1	1	1	1	1	1	1	3	1	3	2	3	1	3	1	N/A	N/A	N/A	N/A	N/A	it is an objective characterization, but when used in opiniated texts, it's a negative feature	N/A	N/A	
άκαπνος	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	1	N/A	1	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	2	N/A	2	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άκαπνος	N/A	ADJ	ADJ	ADJ	N/A	OBJ	SUBJ+	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άκαρδος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	5	2	4	1	5	2	1	1	4	1	1	1	1	1	3	1	2	4	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακατάσβεστος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ-	BOTH	BOTH	BOTH	BOTH	1	1	1	2	1	1	1	2	1	1	3	2	3	1	3	2	1	1	1	2	3	1	2	1	N/A	N/A	N/A	N/A	N/A	intensifier	N/A	N/A	
ακηδεμόνευτος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	2	N/A	1	N/A	3	N/A	1	N/A	2	N/A	3	N/A	1	N/A	1	N/A	4	N/A	4	N/A	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακόρεστος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ-	SUBJ+	OBJ	NEG	BOTH	NEG	N/A	1	1	2	N/A	3	1	4	N/A	1	1	3	N/A	1	1	1	N/A	1	1	1	N/A	3	1	5	N/A	N/A	N/A	N/A	N/A	N/A	intensifier	N/A	N/A	
ακούραστος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ+	OBJ	SUBJ+	SUBJ-	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	3	3	1	N/A	1	1	4	N/A	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακουστικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	3	N/A	1	N/A	1	N/A	4	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακούω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	OBJ	OBJ	POS	N/A	N/A	N/A	2	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ακτινοβόλος -ος / -α -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ+	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	3	1	1	1	1	5	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άλαλος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ+	SUBJ-	NEG	BOTH	BOTH	BOTH	1	1	2	2	2	1	1	1	3	1	3	2	3	1	2	1	2	1	3	2	5	4	5	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
